edge_eye, inout, hdmi_sda
Boxing, input, clk
Boxing, input, rst_n
Boxing, input, per_frame_vsync
Boxing, input, per_frame_href
Boxing, input, per_frame_clken
Boxing, input, per_img_Y
Boxing, input, cmos_frame_clken
Boxing, input, cmos_frame_vsync
Boxing, input, cmos_frame_href
Boxing, input, cmos_frame_data
Boxing, output, post_frame_vsync
Boxing, output, post_frame_href
Boxing, output, post_frame_clken
Boxing, output, post_img_Y
DVP_Capture, input, Rst_p
DVP_Capture, input, PCLK
DVP_Capture, input, Vsync
DVP_Capture, input, Href
DVP_Capture, input, Data
DVP_Capture, output, ImageState
DVP_Capture, output, DataValid
DVP_Capture, output, DataPixel
DVP_Capture, output, DataHs
DVP_Capture, output, DataVs
DVP_Capture, output, Xaddr
DVP_Capture, output, Yaddr
i2c_bit_shift, input, Clk
i2c_bit_shift, input, Rst_n
i2c_bit_shift, input, Cmd
i2c_bit_shift, input, Go
i2c_bit_shift, output, Rx_DATA
i2c_bit_shift, input, Tx_DATA
i2c_bit_shift, output, Trans_Done
i2c_bit_shift, output, ack_o
i2c_bit_shift, output, i2c_sclk
i2c_bit_shift, inout, i2c_sdat
i2c_control, input, Clk
i2c_control, input, Rst_n
i2c_control, input, wrreg_req
i2c_control, input, rdreg_req
i2c_control, input, addr
i2c_control, input, addr_mode
i2c_control, input, wrdata
i2c_control, output, rddata
i2c_control, input, device_id
i2c_control, output, RW_Done
i2c_control, output, ack
i2c_control, input, dly_cnt_max
i2c_control, output, i2c_sclk
i2c_control, inout, i2c_sdat
ov7725_init_table_rgb, input, clk
ov7725_init_table_rgb, input, addr
ov7725_init_table_rgb, output, q
ov5640_init_table_jpeg, input, clk
ov5640_init_table_jpeg, input, addr
ov5640_init_table_jpeg, output, q
ov5640_init_table_rgb, input, clk
ov5640_init_table_rgb, input, addr
ov5640_init_table_rgb, output, q
camera_init, input, Clk
camera_init, input, Rst_n
camera_init, output, Init_Done
camera_init, output, camera_rst_n
camera_init, output, camera_pwdn
camera_init, output, i2c_sclk
camera_init, inout, i2c_sdat
hdmi_cfg, output, cfg_start
hdmi_cfg, output, cfg_done
hdmi_i2c_ctrl, output, i2c_clk
hdmi_i2c_ctrl, output, i2c_end
hdmi_i2c_ctrl, output, rd_data
hdmi_i2c_ctrl, output, i2c_scl
sdram_read, output, read_cmd
sdram_read, output, read_ba
sdram_read, output, read_addr
sdram_write, output, write_cmd
sdram_write, output, write_ba
sdram_write, output, write_addr
sdram_write, output, wr_sdram_en
sdram_a_ref, output, aref_req
sdram_a_ref, output, aref_cmd
sdram_a_ref, output, aref_ba
sdram_a_ref, output, aref_addr
sdram_arbit, output, aref_en
sdram_arbit, output, wr_en
sdram_arbit, output, rd_en
sdram_arbit, output, sdram_ba
sdram_arbit, output, sdram_addr
sdram_init, output, init_cmd
sdram_init, output, init_ba
sdram_init, output, init_addr
fifo_ctrl, output, sdram_wr_req
fifo_ctrl, output, sdram_wr_addr
fifo_ctrl, output, sdram_rd_req
fifo_ctrl, output, sdram_rd_addr
crc32_d8, input, clk
crc32_d8, input, reset_p
crc32_d8, input, data
crc32_d8, input, crc_init
crc32_d8, input, crc_en
crc32_d8, output, crc_result
ip_checksum, input, clk
ip_checksum, input, reset_p
ip_checksum, input, cal_en
ip_checksum, input, IP_ver
ip_checksum, input, IP_hdr_len
ip_checksum, input, IP_tos
ip_checksum, input, IP_total_len
ip_checksum, input, IP_id
ip_checksum, input, IP_rsv
ip_checksum, input, IP_df
ip_checksum, input, IP_mf
ip_checksum, input, IP_frag_offset
ip_checksum, input, IP_ttl
ip_checksum, input, IP_protocol
ip_checksum, input, src_ip
ip_checksum, input, dst_ip
ip_checksum, output, checksum
eth_udp_tx_gmii, input, clk125m
eth_udp_tx_gmii, input, reset_p
eth_udp_tx_gmii, input, tx_en_pulse
eth_udp_tx_gmii, output, tx_done
eth_udp_tx_gmii, input, dst_mac
eth_udp_tx_gmii, input, src_mac
eth_udp_tx_gmii, input, dst_ip
eth_udp_tx_gmii, input, src_ip
eth_udp_tx_gmii, input, dst_port
eth_udp_tx_gmii, input, src_port
eth_udp_tx_gmii, input, data_length
eth_udp_tx_gmii, output, payload_req_o
eth_udp_tx_gmii, input, payload_dat_i
eth_udp_tx_gmii, output, gmii_tx_clk
eth_udp_tx_gmii, output, gmii_txd
eth_udp_tx_gmii, output, gmii_txen
eth_tx_ctrl, input, reset_p
eth_tx_ctrl, input, clk
eth_tx_ctrl, input, data_i
eth_tx_ctrl, input, data_valid_i
eth_tx_ctrl, input, eth_txfifo_rd_clk
eth_tx_ctrl, output, tx_en_pulse
eth_tx_ctrl, input, tx_done
eth_tx_ctrl, input, eth_txfifo_rden
eth_tx_ctrl, output, eth_txfifo_dout
pixel_data_processor, input, pclk
pixel_data_processor, input, g_rst_p
pixel_data_processor, input, image_data_hs
pixel_data_processor, input, image_data
pixel_data_processor, input, image_data_valid
pixel_data_processor, input, image_data_yaddr
pixel_data_processor, output, pixel_data
pixel_data_processor, output, pixel_data_valid
bit_dilation, input, clk
bit_dilation, input, rst_n
bit_dilation, input, per_frame_vsync
bit_dilation, input, per_frame_href
bit_dilation, input, per_frame_clken
bit_dilation, input, per_img_Bit
bit_dilation, output, post_frame_vsync
bit_dilation, output, post_frame_href
bit_dilation, output, post_frame_clken
bit_dilation, output, post_img_Bit
Line_Shift_RAM_1Bit, input, clock
Line_Shift_RAM_1Bit, input, clken
Line_Shift_RAM_1Bit, input, shiftin
Line_Shift_RAM_1Bit, output, taps0x
